text,entity,umap_x,umap_y,tsne_x,tsne_y,type
"San Francisco Bay Clean Water, Pollution Prevention and Habitat Restoration Measure",https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_91cb51,11.495749,0.7637412,-33.633125,-22.908043,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Transportation Development Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_944abe,9.448548,4.184618,18.399652,-28.197626,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Meat and Poultry Supplemental Inspection Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_9cf9cc,10.968083,4.1839457,11.734484,-49.93105,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
AGA Grassfed,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_9e1911,7.5350714,-1.4099807,6.44894,30.833345,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Z'berg-Nejedly Forest Practice Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_9eb6bd,8.998458,3.580117,20.64768,-3.5378854,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
National Conservation Practice Standards,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_9f2011,8.896171,3.6535347,20.76153,-18.220932,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Executive Order on Tackling the Climate Crisis at Home and Abroad,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_9f8183,9.5369625,5.1674256,29.326704,-31.328957,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
San Gabriel Basin Water Quality Authority Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_9f8d3d,11.5979595,-0.14802136,-42.45474,-14.436007,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Sustainable Groundwater Management Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a0b9db,11.104344,-0.6389208,-39.8469,5.0129814,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Outdoor Recreation Resources Plan Act of 1967,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a11a30,10.935005,3.731131,1.9894848,-56.99765,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Delta Reform Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a1b670,9.477187,3.9331982,36.300793,1.6224298,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Colorado River Compact,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a279a2,10.338483,-2.2121973,-44.34717,27.710716,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Migratory Bird Treaty Act of 1918,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a53a35,9.756701,3.3001275,12.73688,-25.082716,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Bringing the Birds Back: A Guide to Habitat Enhancment for Birds in the Sacramento Valley,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a63678,9.586296,2.5563312,7.7048345,-15.064244,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Endangered Species Act of 1984,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_a7faea,10.704053,3.805783,11.760326,-51.38142,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Audubon Conservation Ranching Program,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_ad6f1a,8.887549,3.4313166,18.411081,-13.452681,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Land to Market,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_b15a7d,7.161404,-0.43553516,9.331658,19.424028,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
"California Clean Water, Clean Air, Safe Neighborhood Parks, and Coastal Protection Act of 2002",https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_b2d2f5,11.330254,3.6589608,-2.3963277,-48.960762,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
